"DNI","Sexe","Tel","CP","Edat","NumFills","NivellEstudis","Ocupacio","Salari","Prob"
"11428269S","F","454485633","25001","46","0","2","Infermeria","32","0.11"
"47397345N","M","442781856","08240","52","1","4","Soldador","72","0.99"
"76733326D","F","932373356","43870","64","4","3","Mecànica agrícola","68","0.94"
"29541465R","F","733943747","25600","58","3","1","Seguretat informàtica","89","0.58"
"48866173L","M","966829856","17820","58","1","0","Internet i telecomunicacions","36","0.31"
"83577657P","M","445189778","43500","49","1","3","Infermeria","66","0.02"
"37954644T","F","832958998","43870","35","4","1","Llauner","36","0.47"
"62597135V","F","651444658","43001","24","4","1","Ginecòleg","90","0.98"
"43296684G","F","869999124","43500","35","1","1","Internet i telecomunicacions","18","0.03"
"24422453Z","M","366488668","25560","27","2","0","Llauner","31","0.03"
"98531135B","M","918425734","17001","42","2","3","Desnvolupador apps","68","0.65"
"43262114R","F","679859427","25560","50","0","0","Llauner","32","0.62"
"34953988W","F","399253299","08401","55","2","1","Seguretat informàtica","20","0.8"
"44443887E","M","115649525","17820","37","4","1","Pediatre","59","0.82"
"88658389V","M","768165646","25001","33","3","1","Mecànica agrícola","86","0.01"
"46993348B","F","449884686","08018","59","1","0","Infermeria","63","0.75"
"46598593G","F","128128251","43870","64","3","3","Seguretat informàtica","93","0.23"
"83412784R","F","113165697","43870","44","3","2","Fuster","74","0.17"
"99834695Z","F","831333263","08018","57","1","4","Soldador","72","0.58"
"51217993L","F","769857859","08018","21","1","3","Desnvolupador apps","74","0.65"
"29297467K","F","275669247","08018","35","0","4","Seguretat informàtica","76","0.77"
"98618477A","F","473345785","25600","42","0","0","Internet i telecomunicacions","73","0.48"
"35815533W","M","275686531","43500","24","3","3","Desnvolupador apps","96","0.33"
"66464277S","M","371387764","25560","47","3","1","Desnvolupador apps","25","0.28"
"25993173S","F","968583162","08018","27","4","3","Administració sistemes","78","0.3"
"23298825Z","M","754949939","17820","38","0","3","Desnvolupador apps","52","1"
"12942853T","F","529291214","25620","41","2","4","Seguretat informàtica","48","0.77"
"32613288K","M","992792287","25001","29","1","2","Infermeria","42","0.64"
"32524923W","F","931666417","17001","49","2","0","Llauner","60","0.96"
"53527293D","M","255634926","43001","58","1","1","Mecànica automòvils","97","0.03"
"14787538V","F","127834528","17820","50","3","2","Mecànica industrial","76","0.26"
"85364871I","F","726614457","43500","44","2","3","Electricista","58","0.71"
"35361964Q","F","685552382","25600","60","3","0","Llauner","76","0.82"
"79749827W","F","739845184","17820","46","2","2","Infermeria","33","0.52"
"23879517W","M","392278739","43201","50","0","4","Internet i telecomunicacions","90","0.68"
"35161836N","F","558485151","25001","65","2","3","Mecànica agrícola","54","0.42"
"86161682E","M","276215298","25600","51","4","2","Pediatre","33","0.37"
"57813912N","M","222174928","08500","21","1","4","Mecànica agrícola","77","0.21"
"59451367S","F","335536319","43870","41","2","2","Seguretat informàtica","43","0.97"
"39237473J","M","188122167","17100","64","4","1","Internet i telecomunicacions","40","0.19"
"79178896Y","F","985651932","25001","38","1","0","Internet i telecomunicacions","73","0.89"
"35563564J","M","132413444","43500","34","3","4","Desnvolupador apps","87","1"
"98612663W","F","924313835","17001","20","3","4","Internet i telecomunicacions","59","0.44"
"19914221Y","F","277552496","08500","64","3","4","Infermeria","81","0.79"
"28573527D","F","561744646","08018","40","1","0","Seguretat informàtica","70","0.54"
"84616226M","M","741637963","17820","56","3","2","Internet i telecomunicacions","29","0.68"
"26247639A","F","297727652","08240","20","2","1","Seguretat informàtica","27","0.82"
"11933913I","M","338283456","25600","44","3","0","Ginecòleg","28","0.65"
"82717462F","F","447289428","17800","52","3","1","Mecànica agrícola","30","0.48"
"75921976B","M","716121626","25600","43","4","3","Pediatre","59","0.42"
"14998918G","M","472682749","25560","22","0","3","Soldador","63","0.34"
"54351648X","F","898744782","17001","48","2","0","Pediatre","38","0.94"
"53886241E","M","772537415","25001","56","0","2","Internet i telecomunicacions","31","0.49"
"76985194N","M","794847654","43201","48","4","1","Mecànica automòvils","85","0.88"
"72941572Z","F","554746689","25001","54","2","2","Electricista","36","0.26"
"92995986P","F","352991889","08401","41","4","1","Fuster","91","0.4"
"82644142H","M","978997949","17001","21","4","2","Mecànica agrícola","74","0.28"
"47769619K","F","625792375","43870","33","3","1","Mecànica industrial","36","0.8"
"28145936X","F","525961594","25620","42","1","0","Soldador","85","0.47"
"95763497O","F","295435426","43201","40","1","1","Soldador","89","0.1"
"19328182G","M","848533899","25560","45","0","2","Fuster","94","0.09"
"73423944V","F","145755942","08401","62","3","2","Mecànica agrícola","67","0.37"
"65682466X","F","763625641","25600","21","2","2","Pediatre","27","0.62"
"31687291K","M","979346926","25560","23","1","1","Llauner","98","0.01"
"82283895A","F","999132338","17800","29","3","2","Mecànica automòvils","62","0.11"
"21578146F","M","626661215","43500","61","0","2","Seguretat informàtica","22","0.05"
"35543268G","M","837413227","43001","30","3","4","Llauner","92","0.68"
"29971193G","F","692886999","17800","43","2","4","Internet i telecomunicacions","41","0.02"
"74683719K","F","226725119","08401","52","3","3","Pediatre","36","0.3"
"49195966M","F","555484658","43500","32","4","0","Llauner","24","0.63"
"46467321N","F","651481111","25560","53","2","1","Llauner","62","0.09"
"86797979G","M","655475834","17100","22","2","3","Internet i telecomunicacions","31","0.7"
"79693351B","M","258442567","43500","44","3","2","Mecànica industrial","61","0.09"
"44196828U","F","511752382","08018","64","4","4","Administració sistemes","70","0.7"
"87936838T","F","266841496","08018","46","2","4","Pediatre","72","0.2"
"12743775B","M","294879165","25600","51","0","2","Soldador","61","0.52"
"96498457T","F","721325691","43001","19","1","3","Pediatre","58","0.27"
"65198696E","M","356911241","25001","61","3","0","Mecànica industrial","35","0.36"
"92868245R","F","373759133","25600","54","1","4","Electricista","84","0.94"
"39679519R","M","978171644","17800","20","4","2","Ginecòleg","77","0.44"
"56198544P","M","773632631","43201","40","0","0","Mecànica automòvils","39","0.37"
"65165447V","M","391668348","17800","55","0","1","Mecànica industrial","93","0.61"
"83625422A","M","763169519","17100","32","4","0","Ginecòleg","85","0.41"
"99137311K","M","927828633","43001","59","0","3","Infermeria","68","0.07"
"41955644X","F","825743632","17820","30","2","2","Fuster","84","0.66"
"67984498C","F","459644714","08240","65","2","1","Mecànica industrial","69","0.98"
"52596715O","M","937779264","43500","24","2","2","Llauner","45","0.2"
"19127116N","M","888111699","17100","64","4","1","Administració sistemes","31","0.21"
"56473519M","F","665365365","08240","48","0","2","Infermeria","93","0.23"
"13689428B","F","668526531","17100","39","2","4","Seguretat informàtica","32","0.58"
"79558222N","F","381289877","43001","28","4","3","Seguretat informàtica","41","0.69"
"73232521L","M","215216635","43870","62","1","1","Electricista","41","0.64"
"32219485X","M","967558924","43201","52","3","4","Fuster","44","0.72"
"85223796E","F","135452659","08240","24","1","3","Fuster","59","0.64"
"59649176I","M","119664971","43001","38","3","2","Desnvolupador apps","90","0.19"
"36691579P","F","139617238","17100","35","1","1","Administració sistemes","27","0.53"
"83731595A","M","411747434","08240","21","4","3","Pediatre","44","0.16"
"36922414S","F","418213743","43201","57","0","2","Mecànica agrícola","50","0.95"
"21125443Z","F","936476158","43001","46","0","3","Electricista","88","0.15"
"88558431W","M","129431152","08240","43","4","1","Ginecòleg","60","0.91"
